content,score_cat,thumbsUpCount,word_count,has_promo,final_label,label,pseudo_prob
"udah bayar masa ga muncul barcode nya, udah di laporkan tapi ga di balikkan uang nya😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨",1,0.0,16.0,0,0,,
trimakasih,5,0.0,1.0,0,0,,
"gajelas, terlalu banyak peminat mulu",1,0.0,5.0,0,0,,
"malam ka saya mau tanya aplikasi qpon aku setiap mau chek out ko gak bisa terus ya ka ,,pas saya chek out selalu (sedang banyak peminat ,coba sebentar lagi) itu kenapa ya ka",5,0.0,33.0,0,0,,
"Aplikasi Qpon benar-benar bikin hidup lebih hemat! 🌟 Interfacenya sangat user-friendly, gampang banget dipakai bahkan buat yang baru pertama download. Banyak promo makanan harian yang bisa langsung dipakai, cocok banget buat anak kos atau pelajar. Diskon restoran terdekatnya sering up-to-date, worth it banget! 💸",5,0.0,44.0,1,1,,
"Aplikasi Qpon benar-benar bikin hidup lebih hemat! 🤑 Promo makanan harian berlimpah, cocok banget buat anak kos atau pelajar yang mau makan enak tanpa boros. User interface-nya praktis dan gampang dipakai, semua promo langsung kelihatan. Diskon restoran kekinian? Ada banyak! Wajib install buat gaya hidup hemat tapi tetap seru. 🍴🔥",5,0.0,50.0,1,1,,
bagus juga,5,0.0,2.0,0,0,,
"setiap saya mau konfirmasi pembayaran selalu ditolak (terlalu banyak peminat coba lagi nanti) menyebalkan, ditambah lagi kalo mau login suka ada pemberitahuan akun terdeteksi tidak normal",2,0.0,26.0,0,0,,
penipuan. saya udah beli banyak kupon tiba2 ga bs login.bahaya,1,0.0,10.0,0,0,,
iya,5,0.0,1.0,0,0,,
mantaaap,5,0.0,1.0,0,0,,
"hati2, mengurus refund sangat ribet",1,0.0,5.0,0,0,,
"cukup oke tp tolong benerin lg dong masa pas mau mesen selalu ada tulisan banyak peminat coba sebentar lg,tiap mencet tulisan pesan skrng malah nyuruh login lg kan ribet",4,0.0,29.0,0,0,,
Voucher murah bangett,5,0.0,3.0,1,0,,
saran untuk outlet di usahakan bisa semua di pakai seperti roti O GK pilih pilih seluruh indonesia..ini ada brand yg Deket rumah ada tapi kudu jauh karena yg Deket GK masuk,4,0.0,31.0,0,0,,
"Promo Qpon balik ke setelan awal. Padahal setelah promo 10-10 itu diskonnya keren banget loh. Tapi cuma bertahan sekitar 1 mingguan aja. Tolong donk balikin lagi promo itu,yang tiap jam 9,10,12,13,15,16,18 dan terakhir 19.",2,1.0,34.0,1,0,,
"bagus banget.. sering bgt dpt harga disc bsr d Qpon, sering2 qpon buat disc besar ya...",5,0.0,16.0,0,0,,
"aplikasi nya gabisa beli yang promo karena banyak peminat, gaberguna",1,0.0,10.0,1,0,,
gmn si mw kuliner. jadi ga bsa gara2 habis ganti hp Krn rusak jadi ga BSa login akunku. payah cui ga recom kalo gini,1,0.0,24.0,0,0,,
aplikasi error.,1,0.0,2.0,0,0,,
